Business Unit,Account Description,Descr,Fiscal Year,Accounting Period,Sum of Amount
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS OTHER,2020,3,3697051.08
BEL01,GROSS INPATIENT REVENUE,METROPLUS,2019,1,-9458066.8
BEL01,GROSS INPATIENT REVENUE,METROPLUS,2019,2,-9972491.23
BEL01,GROSS INPATIENT REVENUE,METROPLUS,2019,3,-8316079.29
BEL01,GROSS INPATIENT REVENUE,METROPLUS,2019,4,-9371266.79
BEL01,GROSS INPATIENT REVENUE,METROPLUS,2019,5,-7700069.73
BEL01,GROSS INPATIENT REVENUE,METROPLUS,2019,6,-6922639.29
BEL01,GROSS INPATIENT REVENUE,METROPLUS,2019,7,-7558973.05
BEL01,GROSS INPATIENT REVENUE,METROPLUS,2019,8,-7245427.41
BEL01,GROSS INPATIENT REVENUE,METROPLUS,2019,9,-7298918.64
BEL01,GROSS INPATIENT REVENUE,METROPLUS,2019,10,-7297858.05
BEL01,GROSS INPATIENT REVENUE,METROPLUS,2019,11,4334388.29
BEL01,GROSS INPATIENT REVENUE,METROPLUS,2019,12,-634139.75
BEL01,GROSS INPATIENT REVENUE,METROPLUS,2020,1,322944.64
BEL01,GROSS INPATIENT REVENUE,METROPLUS,2020,2,4036015.14
BEL01,GROSS INPATIENT REVENUE,METROPLUS,2020,3,185688.46
BEL01,GROSS INPATIENT REVENUE,NO FAULT,2019,1,-990146.33
BEL01,GROSS INPATIENT REVENUE,NO FAULT,2019,2,-1352359.85
BEL01,GROSS INPATIENT REVENUE,NO FAULT,2019,3,-1187997
BEL01,GROSS INPATIENT REVENUE,NO FAULT,2019,4,-738556.3
BEL01,GROSS INPATIENT REVENUE,NO FAULT,2019,5,-817544.5
BEL01,GROSS INPATIENT REVENUE,NO FAULT,2019,6,-1265341.23
BEL01,GROSS INPATIENT REVENUE,NO FAULT,2019,7,-954734.81
BEL01,GROSS INPATIENT REVENUE,NO FAULT,2019,8,-788088.83
BEL01,GROSS INPATIENT REVENUE,NO FAULT,2019,9,-130971.49
BEL01,GROSS INPATIENT REVENUE,NO FAULT,2019,10,-379617.85
BEL01,GROSS INPATIENT REVENUE,NO FAULT,2019,11,-527866.62
BEL01,GROSS INPATIENT REVENUE,NO FAULT,2019,12,-389079.11
BEL01,GROSS INPATIENT REVENUE,NO FAULT,2020,1,-197449.31
BEL01,GROSS INPATIENT REVENUE,NO FAULT,2020,2,561433.78
BEL01,GROSS INPATIENT REVENUE,OTHER HMO,2019,1,-5611588.2
BEL01,GROSS INPATIENT REVENUE,OTHER HMO,2019,2,-4996453.31
BEL01,GROSS INPATIENT REVENUE,OTHER HMO,2019,3,-4501354.79
BEL01,GROSS INPATIENT REVENUE,OTHER HMO,2019,4,-5413527.27
BEL01,GROSS INPATIENT REVENUE,OTHER HMO,2019,5,-5583414.46
BEL01,GROSS INPATIENT REVENUE,OTHER HMO,2019,6,-5273788.86
BEL01,GROSS INPATIENT REVENUE,OTHER HMO,2019,7,-5595900.1
BEL01,GROSS INPATIENT REVENUE,OTHER HMO,2019,8,-4364625.27
BEL01,GROSS INPATIENT REVENUE,OTHER HMO,2019,9,-4293884.48
BEL01,GROSS INPATIENT REVENUE,OTHER HMO,2019,10,-4193676.44
BEL01,GROSS INPATIENT REVENUE,OTHER HMO,2019,11,1660657.57
BEL01,GROSS INPATIENT REVENUE,OTHER HMO,2019,12,-778081.35
BEL01,GROSS INPATIENT REVENUE,OTHER HMO,2020,1,13832.65
BEL01,GROSS INPATIENT REVENUE,OTHER HMO,2020,2,1498277.39
BEL01,GROSS INPATIENT REVENUE,SELF PAY,2019,1,-12839189.09
BEL01,GROSS INPATIENT REVENUE,SELF PAY,2019,2,-14720291.49
BEL01,GROSS INPATIENT REVENUE,SELF PAY,2019,3,-13020635.13
BEL01,GROSS INPATIENT REVENUE,SELF PAY,2019,4,-14734758.24
BEL01,GROSS INPATIENT REVENUE,SELF PAY,2019,5,-13871319.18
BEL01,GROSS INPATIENT REVENUE,SELF PAY,2019,6,-14306825.95
BEL01,GROSS INPATIENT REVENUE,SELF PAY,2019,7,-13640643.03
BEL01,GROSS INPATIENT REVENUE,SELF PAY,2019,8,-12303498.83
BEL01,GROSS INPATIENT REVENUE,SELF PAY,2019,9,-14508305.15
BEL01,GROSS INPATIENT REVENUE,SELF PAY,2019,10,-8234880.06
BEL01,GROSS INPATIENT REVENUE,SELF PAY,2019,11,4019085.67
BEL01,GROSS INPATIENT REVENUE,SELF PAY,2019,12,-744452.75
BEL01,GROSS INPATIENT REVENUE,SELF PAY,2020,1,26339.15
BEL01,GROSS INPATIENT REVENUE,SELF PAY,2020,2,6853438.32
BEL01,GROSS INPATIENT REVENUE,WORKERS COMPENSATION,2019,1,-801459.19
BEL01,GROSS INPATIENT REVENUE,WORKERS COMPENSATION,2019,2,-611586.1
BEL01,GROSS INPATIENT REVENUE,WORKERS COMPENSATION,2019,3,-393076.83
BEL01,GROSS INPATIENT REVENUE,WORKERS COMPENSATION,2019,4,-643886.36
BEL01,GROSS INPATIENT REVENUE,WORKERS COMPENSATION,2019,5,-406465.13
BEL01,GROSS INPATIENT REVENUE,WORKERS COMPENSATION,2019,6,-621518.78
BEL01,GROSS INPATIENT REVENUE,WORKERS COMPENSATION,2019,7,-759648.48
BEL01,GROSS INPATIENT REVENUE,WORKERS COMPENSATION,2019,8,-505584.19
BEL01,GROSS INPATIENT REVENUE,WORKERS COMPENSATION,2019,9,-489017.71
BEL01,GROSS INPATIENT REVENUE,WORKERS COMPENSATION,2019,10,-672488.65
BEL01,GROSS INPATIENT REVENUE,WORKERS COMPENSATION,2019,11,176703.7
BEL01,GROSS INPATIENT REVENUE,WORKERS COMPENSATION,2019,12,-94409.8
BEL01,GROSS INPATIENT REVENUE,WORKERS COMPENSATION,2020,1,-548386.4
BEL01,GROSS INPATIENT REVENUE,WORKERS COMPENSATION,2020,2,746126.57
BEL01,GROSS OUTPATIENT REVENUE,GOVERNMENT/OTHER,2019,1,-676112.43
BEL01,GROSS OUTPATIENT REVENUE,GOVERNMENT/OTHER,2019,2,-814342.7
BEL01,GROSS OUTPATIENT REVENUE,GOVERNMENT/OTHER,2019,3,-674483.44
BEL01,GROSS OUTPATIENT REVENUE,GOVERNMENT/OTHER,2019,4,-779616.33
BEL01,GROSS OUTPATIENT REVENUE,GOVERNMENT/OTHER,2019,5,-697284.9
BEL01,GROSS OUTPATIENT REVENUE,GOVERNMENT/OTHER,2019,6,-713416.06
BEL01,GROSS OUTPATIENT REVENUE,GOVERNMENT/OTHER,2019,7,-744301.88
BEL01,GROSS OUTPATIENT REVENUE,GOVERNMENT/OTHER,2019,8,-600904.52
BEL01,GROSS OUTPATIENT REVENUE,GOVERNMENT/OTHER,2019,9,-731749.52
BEL01,GROSS OUTPATIENT REVENUE,GOVERNMENT/OTHER,2019,10,-90986.13
BEL01,GROSS OUTPATIENT REVENUE,GOVERNMENT/OTHER,2019,11,-16361.1
BEL01,GROSS OUTPATIENT REVENUE,GOVERNMENT/OTHER,2019,12,8009.19
BEL01,GROSS OUTPATIENT REVENUE,GOVERNMENT/OTHER,2020,1,-1027.67
BEL01,GROSS OUTPATIENT REVENUE,GOVERNMENT/OTHER,2020,2,-600.03
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS,2019,1,-4485300.42
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS,2019,2,-4690604.4
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS,2019,3,-3779041.71
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS,2019,4,-4225239.53
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS,2019,5,-4235422.18
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS,2019,6,-4889102.82
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS,2019,7,-4908723.91
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS,2019,8,-4775303.99
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS,2019,9,-5371661.02
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS,2019,10,-1318764.24
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS,2019,11,-1673763.19
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS,2019,12,28039.11
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS,2020,1,-6251.82
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS,2020,2,48364.59
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS,2020,3,0
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS,2020,4,780.33
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS,2020,5,7348.8
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS OTHER,2019,1,-7112780.83
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS OTHER,2019,2,-8015367.44
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS OTHER,2019,3,-7382752.91
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS OTHER,2019,4,-8200554.07
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS OTHER,2019,5,-7137934.48
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS OTHER,2019,6,-8133963.78
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS OTHER,2019,7,-7358013.13
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS OTHER,2019,8,-7737630.98
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS OTHER,2019,9,-8295976.32
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS OTHER,2019,10,-1985206.91
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS OTHER,2019,11,-343364.85
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS OTHER,2019,12,-11245.32
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS OTHER,2020,1,-20669.14
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS OTHER,2020,2,12146.02
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS OTHER,2020,3,12169.75
BEL01,GROSS OUTPATIENT REVENUE,MEDICAID FFS OTHER,2020,4,-1411.96
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS,2019,1,-3115557.78
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS,2019,2,-3328827.97
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS,2019,3,-3048597.22
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS,2019,4,-3355470.69
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS,2019,5,-2813087.68
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS,2019,6,-3099403.32
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS,2019,7,-2662658.64
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS,2019,8,-2562560.55
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS,2019,9,-2822187.51
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS,2019,10,-735798.55
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS,2019,11,-72508.31
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS,2019,12,-14161.69
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS,2020,1,12171.34
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS,2020,2,20159.63
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS,2020,3,-339.97
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS,2020,4,6739.19
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS,2020,5,-2023.06
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS,2020,6,-349.99
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS,2020,7,104.86
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS OTHER,2019,1,-4094989.99
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS OTHER,2019,2,-4249161.64
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS OTHER,2019,3,-3726547.08
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS OTHER,2019,4,-4146502.19
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS OTHER,2019,5,-3793830.07
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS OTHER,2019,6,-4394987.55
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS OTHER,2019,7,-3974731.09
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS OTHER,2019,8,-3774707.42
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS OTHER,2019,9,-4368449.55
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS OTHER,2019,10,-1240535.47
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS OTHER,2019,11,-263422.4
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS OTHER,2019,12,3057.88
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS OTHER,2020,1,-14359.66
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS OTHER,2020,2,18691.58
BEL01,GROSS OUTPATIENT REVENUE,MEDICARE FFS OTHER,2020,3,-13218.53
BEL01,GROSS OUTPATIENT REVENUE,METROPLUS,2019,1,-7851099.07
BEL01,GROSS OUTPATIENT REVENUE,METROPLUS,2019,2,-8925777.92
BEL01,GROSS OUTPATIENT REVENUE,METROPLUS,2019,3,-7782890.9
BEL01,GROSS OUTPATIENT REVENUE,METROPLUS,2019,4,-9194885.24
BEL01,GROSS OUTPATIENT REVENUE,METROPLUS,2019,5,-8026168.81
BEL01,GROSS OUTPATIENT REVENUE,METROPLUS,2019,6,-8764052.2
BEL01,GROSS OUTPATIENT REVENUE,METROPLUS,2019,7,-8070592.18
BEL01,GROSS OUTPATIENT REVENUE,METROPLUS,2019,8,-7882377.75
BEL01,GROSS OUTPATIENT REVENUE,METROPLUS,2019,9,-8156148.41
BEL01,GROSS OUTPATIENT REVENUE,METROPLUS,2019,10,-2022993.92
BEL01,GROSS OUTPATIENT REVENUE,METROPLUS,2019,11,-417655.59
BEL01,GROSS OUTPATIENT REVENUE,METROPLUS,2019,12,-36728.68
BEL01,GROSS OUTPATIENT REVENUE,METROPLUS,2020,1,-3611.62
BEL01,GROSS OUTPATIENT REVENUE,METROPLUS,2020,2,15822.25
BEL01,GROSS OUTPATIENT REVENUE,METROPLUS,2020,3,753.55
BEL01,GROSS OUTPATIENT REVENUE,NO FAULT,2019,1,-142132.02
BEL01,GROSS OUTPATIENT REVENUE,NO FAULT,2019,2,-121206.85
BEL01,GROSS OUTPATIENT REVENUE,NO FAULT,2019,3,-106216
BEL01,GROSS OUTPATIENT REVENUE,NO FAULT,2019,4,-74605.51
BEL01,GROSS OUTPATIENT REVENUE,NO FAULT,2019,5,-73026.72
BEL01,GROSS OUTPATIENT REVENUE,NO FAULT,2019,6,-80479.85
BEL01,GROSS OUTPATIENT REVENUE,NO FAULT,2019,7,-67411.02
BEL01,GROSS OUTPATIENT REVENUE,NO FAULT,2019,8,-86529.32
BEL01,GROSS OUTPATIENT REVENUE,NO FAULT,2019,9,-87325.02
BEL01,GROSS OUTPATIENT REVENUE,NO FAULT,2019,10,-18879.46
BEL01,GROSS OUTPATIENT REVENUE,NO FAULT,2019,11,-6510.87
BEL01,GROSS OUTPATIENT REVENUE,NO FAULT,2019,12,-1272.17
BEL01,GROSS OUTPATIENT REVENUE,NO FAULT,2020,1,-3608.48
BEL01,GROSS OUTPATIENT REVENUE,NO FAULT,2020,2,417.73
BEL01,GROSS OUTPATIENT REVENUE,OTHER HMO,2019,1,-5927797.52
BEL01,GROSS OUTPATIENT REVENUE,OTHER HMO,2019,2,-6379966.5
BEL01,GROSS OUTPATIENT REVENUE,OTHER HMO,2019,3,-5774954.74
BEL01,GROSS OUTPATIENT REVENUE,OTHER HMO,2019,4,-6624175
BEL01,GROSS OUTPATIENT REVENUE,OTHER HMO,2019,5,-5676842.59
BEL01,GROSS OUTPATIENT REVENUE,OTHER HMO,2019,6,-6298019.45
BEL01,GROSS OUTPATIENT REVENUE,OTHER HMO,2019,7,-5425339.71
BEL01,GROSS OUTPATIENT REVENUE,OTHER HMO,2019,8,-5368593.05
BEL01,GROSS OUTPATIENT REVENUE,OTHER HMO,2019,9,-5884895.45
BEL01,GROSS OUTPATIENT REVENUE,OTHER HMO,2019,10,-2192536.36
BEL01,GROSS OUTPATIENT REVENUE,OTHER HMO,2019,11,-416535.04
BEL01,GROSS OUTPATIENT REVENUE,OTHER HMO,2019,12,-38146.42
BEL01,GROSS OUTPATIENT REVENUE,OTHER HMO,2020,1,-13249.47
BEL01,GROSS OUTPATIENT REVENUE,OTHER HMO,2020,2,18375.44
BEL01,GROSS OUTPATIENT REVENUE,OTHER HMO,2020,3,851.15
BEL01,GROSS OUTPATIENT REVENUE,OTHER HMO,2020,4,-3098.08
BEL01,GROSS OUTPATIENT REVENUE,SELF PAY,2019,1,-14121746.7
BEL01,GROSS OUTPATIENT REVENUE,SELF PAY,2019,2,-14652073
BEL01,GROSS OUTPATIENT REVENUE,SELF PAY,2019,3,-12823121.91
BEL01,GROSS OUTPATIENT REVENUE,SELF PAY,2019,4,-15392351.6
BEL01,GROSS OUTPATIENT REVENUE,SELF PAY,2019,5,-13227863.89
BEL01,GROSS OUTPATIENT REVENUE,SELF PAY,2019,6,-12920904.26
BEL01,GROSS OUTPATIENT REVENUE,SELF PAY,2019,7,-11682996.53
BEL01,GROSS OUTPATIENT REVENUE,SELF PAY,2019,8,-11656732.47
BEL01,GROSS OUTPATIENT REVENUE,SELF PAY,2019,9,-12758880.13
BEL01,GROSS OUTPATIENT REVENUE,SELF PAY,2019,10,-2776851.46
BEL01,GROSS OUTPATIENT REVENUE,SELF PAY,2019,11,-721910.17
BEL01,GROSS OUTPATIENT REVENUE,SELF PAY,2019,12,-24509.3
BEL01,GROSS OUTPATIENT REVENUE,SELF PAY,2020,1,-22562.91
BEL01,GROSS OUTPATIENT REVENUE,SELF PAY,2020,2,-12509.68
BEL01,GROSS OUTPATIENT REVENUE,SELF PAY,2020,3,-442.91
BEL01,GROSS OUTPATIENT REVENUE,SELF PAY,2020,4,-3038.88
BEL01,GROSS OUTPATIENT REVENUE,WORKERS COMPENSATION,2019,1,-208131.78
BEL01,GROSS OUTPATIENT REVENUE,WORKERS COMPENSATION,2019,2,-224707.34
BEL01,GROSS OUTPATIENT REVENUE,WORKERS COMPENSATION,2019,3,-178491.14
BEL01,GROSS OUTPATIENT REVENUE,WORKERS COMPENSATION,2019,4,-228484
BEL01,GROSS OUTPATIENT REVENUE,WORKERS COMPENSATION,2019,5,-197328.15
BEL01,GROSS OUTPATIENT REVENUE,WORKERS COMPENSATION,2019,6,-210016.19
BEL01,GROSS OUTPATIENT REVENUE,WORKERS COMPENSATION,2019,7,-244018.99
BEL01,GROSS OUTPATIENT REVENUE,WORKERS COMPENSATION,2019,8,-252130.93
BEL01,GROSS OUTPATIENT REVENUE,WORKERS COMPENSATION,2019,9,-253394.96
BEL01,GROSS OUTPATIENT REVENUE,WORKERS COMPENSATION,2019,10,-27075.23
BEL01,GROSS OUTPATIENT REVENUE,WORKERS COMPENSATION,2019,11,-25160.07
BEL01,GROSS OUTPATIENT REVENUE,WORKERS COMPENSATION,2019,12,-2757.75
BEL01,GROSS OUTPATIENT REVENUE,WORKERS COMPENSATION,2020,1,-417.73
BEL01,GROSS OUTPATIENT REVENUE,WORKERS COMPENSATION,2020,2,3679.06
BEL01,I/P REVENUE - EPIC,GOVERNMENT/OTHER,2019,9,-2875.92
BEL01,I/P REVENUE - EPIC,GOVERNMENT/OTHER,2019,10,2875.92
BEL01,I/P REVENUE - EPIC,GOVERNMENT/OTHER,2020,1,-331988.6
BEL01,I/P REVENUE - EPIC,GOVERNMENT/OTHER,2020,2,-246.95
BEL01,I/P REVENUE - EPIC,GOVERNMENT/OTHER,2020,3,0
BEL01,I/P REVENUE - EPIC,GOVERNMENT/OTHER,2020,4,19721.77
BEL01,I/P REVENUE - EPIC,GOVERNMENT/OTHER,2020,5,-23333.51
BEL01,I/P REVENUE - EPIC,GOVERNMENT/OTHER,2020,7,-176156.7
BEL01,I/P REVENUE - EPIC,GOVERNMENT/OTHER,2020,8,4159.56
BEL01,I/P REVENUE - EPIC,GOVERNMENT/OTHER,2020,11,-35519.08
BEL01,I/P REVENUE - EPIC,GOVERNMENT/OTHER,2020,12,35519.08
BEL01,I/P REVENUE - EPIC,HEALTHFIRST,2019,9,-503177.13
BEL01,I/P REVENUE - EPIC,HEALTHFIRST,2019,10,-13465508.38
BEL01,I/P REVENUE - EPIC,HEALTHFIRST,2019,11,-17321705.79
BEL01,I/P REVENUE - EPIC,HEALTHFIRST,2019,12,-4604602.19
BEL01,I/P REVENUE - EPIC,HEALTHFIRST,2020,1,-13599064.34
BEL01,I/P REVENUE - EPIC,HEALTHFIRST,2020,2,-16379060.58
BEL01,I/P REVENUE - EPIC,HEALTHFIRST,2020,3,-16761626.93
BEL01,I/P REVENUE - EPIC,HEALTHFIRST,2020,4,-20227283.15
BEL01,I/P REVENUE - EPIC,HEALTHFIRST,2020,5,-16538736.51
