IP or OP,Business Unit,Financial Class,Payor,Year,Year Quarter,Payment Amount
IP,Bellevue,Commercial,FIDELIS CARE COMM [5120],2019,2019 Q3,-326098.32
IP,Bellevue,Commercial,FIDELIS CARE COMM [5120],2019,2019 Q4,-60069.15
IP,Bellevue,Commercial,FIDELIS CARE COMM [5120],2020,2020 Q1,-3253.86
IP,Bellevue,Commercial,FIDELIS CARE COMM [5120],2020,2020 Q2,-19977.01
IP,Bellevue,Commercial,FIDELIS CARE COMM [5120],2020,2020 Q3,-400
IP,Bellevue,Commercial,HEALTH NET [9010],2019,2019 Q2,0
IP,Bellevue,Commercial,HEALTH NET [9010],2019,2019 Q3,0
IP,Bellevue,Commercial,HEALTHFIRST COMM [5070],2019,2019 Q1,0
IP,Bellevue,Commercial,HEALTHFIRST COMM [5070],2019,2019 Q2,-395776.14
IP,Bellevue,Commercial,HEALTHFIRST COMM [5070],2019,2019 Q3,-326829.38
IP,Bellevue,Commercial,HEALTHFIRST COMM [5070],2019,2019 Q4,-47894.16
IP,Bellevue,Commercial,HEALTHFIRST COMM [5070],2020,2020 Q1,-2202.02
IP,Bellevue,Commercial,HEALTHFIRST COMM [5070],2020,2020 Q2,-8066.65
IP,Bellevue,Commercial,HEALTHFIRST COMM [5070],2020,2020 Q3,-410
IP,Bellevue,Commercial,HUMANA COMMERCIAL [9030],2019,2019 Q1,0
IP,Bellevue,Commercial,HUMANA COMMERCIAL [9030],2019,2019 Q2,-39213.54
IP,Bellevue,Commercial,HUMANA COMMERCIAL [9030],2019,2019 Q3,0
IP,Bellevue,Commercial,MAGNACARE [5100],2019,2019 Q2,-4276.87
IP,Bellevue,Commercial,MAGNACARE [5100],2019,2019 Q3,-57801.09
IP,Bellevue,Commercial,MAGNACARE [5100],2019,2019 Q4,-23597.58
IP,Bellevue,Commercial,MAGNACARE [5100],2020,2020 Q2,0
IP,Bellevue,Commercial,MAGNACARE [5100],2020,2020 Q3,0
IP,Bellevue,Commercial,METROPLUS COMM [1002],2019,2019 Q1,0
IP,Bellevue,Commercial,METROPLUS COMM [1002],2019,2019 Q2,-1642039.44
IP,Bellevue,Commercial,METROPLUS COMM [1002],2019,2019 Q3,-683577.88
IP,Bellevue,Commercial,METROPLUS COMM [1002],2019,2019 Q4,-42524.99
IP,Bellevue,Commercial,METROPLUS COMM [1002],2020,2020 Q1,-349.7
IP,Bellevue,Commercial,METROPLUS COMM [1002],2020,2020 Q2,-149.55
IP,Bellevue,Commercial,METROPLUS COMM [1002],2020,2020 Q3,-613471.45
IP,Bellevue,Commercial,MVP COMM [5150],2019,2019 Q2,0
IP,Bellevue,Commercial,MVP COMM [5150],2019,2019 Q3,0
IP,Bellevue,Commercial,MVP COMM [5150],2019,2019 Q4,0
IP,Bellevue,Commercial,MVP COMM [5150],2020,2020 Q1,-33166.84
IP,Bellevue,Commercial,MVP COMM [5150],2020,2020 Q2,6414.84
IP,Bellevue,Commercial,UHC OXFORD COMM [5080],2019,2019 Q1,0
IP,Bellevue,Commercial,UHC OXFORD COMM [5080],2019,2019 Q2,-227659.03
IP,Bellevue,Commercial,UHC OXFORD COMM [5080],2019,2019 Q3,-169549.44
IP,Bellevue,Commercial,UHC OXFORD COMM [5080],2019,2019 Q4,-2346.59
IP,Bellevue,Commercial,UHC OXFORD COMM [5080],2020,2020 Q1,55902.73
IP,Bellevue,Commercial,UHC OXFORD COMM [5080],2020,2020 Q2,-2240.22
IP,Bellevue,Commercial,UHC OXFORD COMM [5080],2020,2020 Q3,-14320.05
IP,Bellevue,Commercial,UNITEDHEALTHCARE COMM [5090],2019,2019 Q1,0
IP,Bellevue,Commercial,UNITEDHEALTHCARE COMM [5090],2019,2019 Q2,-295903.46
IP,Bellevue,Commercial,UNITEDHEALTHCARE COMM [5090],2019,2019 Q3,-487094.69
IP,Bellevue,Commercial,UNITEDHEALTHCARE COMM [5090],2019,2019 Q4,-88214.01
IP,Bellevue,Commercial,UNITEDHEALTHCARE COMM [5090],2020,2020 Q1,-344982.51
IP,Bellevue,Commercial,UNITEDHEALTHCARE COMM [5090],2020,2020 Q2,-4183.2
IP,Bellevue,Commercial,UNITEDHEALTHCARE COMM [5090],2020,2020 Q3,114833.73
IP,Bellevue,Commercial,WELLCARE COMM [5130],2019,2019 Q2,-32449.59
IP,Bellevue,Commercial,WELLCARE COMM [5130],2019,2019 Q3,-8126.23
IP,Bellevue,Commercial,WELLCARE COMM [5130],2019,2019 Q4,77.18
IP,Bellevue,Medicaid,EMERGENCY MEDICAID [3070],2019,2019 Q1,0
IP,Bellevue,Medicaid,EMERGENCY MEDICAID [3070],2019,2019 Q2,-8492756.9
IP,Bellevue,Medicaid,EMERGENCY MEDICAID [3070],2019,2019 Q3,-7964399.16
IP,Bellevue,Medicaid,EMERGENCY MEDICAID [3070],2019,2019 Q4,-88899.91
IP,Bellevue,Medicaid,EMERGENCY MEDICAID [3070],2020,2020 Q1,-38403.78
IP,Bellevue,Medicaid,EMERGENCY MEDICAID [3070],2020,2020 Q2,54024.44
IP,Bellevue,Medicaid,EMERGENCY MEDICAID [3070],2020,2020 Q3,2
IP,Bellevue,Medicaid,NEW YORK MEDICAID [3000],2019,2019 Q1,0
IP,Bellevue,Medicaid,NEW YORK MEDICAID [3000],2019,2019 Q2,-8946662.32
IP,Bellevue,Medicaid,NEW YORK MEDICAID [3000],2019,2019 Q3,-6604547.56
IP,Bellevue,Medicaid,NEW YORK MEDICAID [3000],2019,2019 Q4,49547.62
IP,Bellevue,Medicaid,NEW YORK MEDICAID [3000],2020,2020 Q1,14917.45
IP,Bellevue,Medicaid,NEW YORK MEDICAID [3000],2020,2020 Q2,-35829.44
IP,Bellevue,Medicaid,NEW YORK MEDICAID [3000],2020,2020 Q3,19935.86
IP,Bellevue,Medicaid,OUT OF STATE MEDICAID [3050],2019,2019 Q1,0
IP,Bellevue,Medicaid,OUT OF STATE MEDICAID [3050],2019,2019 Q2,0
IP,Bellevue,Medicaid,OUT OF STATE MEDICAID [3050],2019,2019 Q3,-26801.13
IP,Bellevue,Medicaid,OUT OF STATE MEDICAID [3050],2019,2019 Q4,-8825.48
IP,Bellevue,Medicaid,OUT OF STATE MEDICAID [3050],2020,2020 Q1,0
IP,Bellevue,Medicaid,OUT OF STATE MEDICAID [3050],2020,2020 Q2,0
IP,Bellevue,Medicaid,OUT OF STATE MEDICAID CT [3040],2019,2019 Q2,0
IP,Bellevue,Medicaid,OUT OF STATE MEDICAID CT [3040],2019,2019 Q3,0
IP,Bellevue,Medicaid,OUT OF STATE MEDICAID NJ [3020],2019,2019 Q2,0
IP,Bellevue,Medicaid,OUT OF STATE MEDICAID NJ [3020],2019,2019 Q3,-15857.12
IP,Bellevue,Medicaid,OUT OF STATE MEDICAID NJ [3020],2019,2019 Q4,0
IP,Bellevue,Medicaid,OUT OF STATE MEDICAID NJ [3020],2020,2020 Q1,0
IP,Bellevue,Medicaid,OUT OF STATE MEDICAID PA [3060],2019,2019 Q2,0
IP,Bellevue,Medicaid,OUT OF STATE MEDICAID PA [3060],2020,2020 Q2,0
IP,Bellevue,Medicaid Managed Care,AETNA MCD [3120],2019,2019 Q1,0
IP,Bellevue,Medicaid Managed Care,AETNA MCD [3120],2019,2019 Q2,0
IP,Bellevue,Medicaid Managed Care,AFFINITY HEALTH PLAN MCD [3140],2019,2019 Q1,0
IP,Bellevue,Medicaid Managed Care,AFFINITY HEALTH PLAN MCD [3140],2019,2019 Q2,-242411.01
IP,Bellevue,Medicaid Managed Care,AFFINITY HEALTH PLAN MCD [3140],2019,2019 Q3,-337697.25
IP,Bellevue,Medicaid Managed Care,AFFINITY HEALTH PLAN MCD [3140],2019,2019 Q4,-8149.95
IP,Bellevue,Medicaid Managed Care,AFFINITY HEALTH PLAN MCD [3140],2020,2020 Q1,12890.3
IP,Bellevue,Medicaid Managed Care,AFFINITY HEALTH PLAN MCD [3140],2020,2020 Q2,-91194.76
IP,Bellevue,Medicaid Managed Care,AFFINITY HEALTH PLAN MCD [3140],2020,2020 Q3,0
IP,Bellevue,Medicaid Managed Care,AMIDA CARE [3540],2019,2019 Q2,-41885.87
IP,Bellevue,Medicaid Managed Care,AMIDA CARE [3540],2019,2019 Q3,-127908.95
IP,Bellevue,Medicaid Managed Care,AMIDA CARE [3540],2019,2019 Q4,-47625.49
IP,Bellevue,Medicaid Managed Care,AMIDA CARE [3540],2020,2020 Q1,-2486.47
IP,Bellevue,Medicaid Managed Care,AMIDA CARE [3540],2020,2020 Q2,-3888.26
IP,Bellevue,Medicaid Managed Care,ARCHCARE MCD [3200],2019,2019 Q2,0
IP,Bellevue,Medicaid Managed Care,CDPHP/CAPITAL DISTRICT HEALTHPLAN  [3530],2019,2019 Q2,0
IP,Bellevue,Medicaid Managed Care,CDPHP/CAPITAL DISTRICT HEALTHPLAN  [3530],2019,2019 Q3,-11658.39
IP,Bellevue,Medicaid Managed Care,CDPHP/CAPITAL DISTRICT HEALTHPLAN  [3530],2019,2019 Q4,41.88
IP,Bellevue,Medicaid Managed Care,CDPHP/CAPITAL DISTRICT HEALTHPLAN  [3530],2020,2020 Q1,0
IP,Bellevue,Medicaid Managed Care,EMBLEMHEALTH MCD [3300],2019,2019 Q1,0
IP,Bellevue,Medicaid Managed Care,EMBLEMHEALTH MCD [3300],2019,2019 Q2,-205079.54
IP,Bellevue,Medicaid Managed Care,EMBLEMHEALTH MCD [3300],2019,2019 Q3,-464755.4
IP,Bellevue,Medicaid Managed Care,EMBLEMHEALTH MCD [3300],2019,2019 Q4,-69658.97
IP,Bellevue,Medicaid Managed Care,EMBLEMHEALTH MCD [3300],2020,2020 Q1,-125647.56
IP,Bellevue,Medicaid Managed Care,EMBLEMHEALTH MCD [3300],2020,2020 Q2,-860.57
IP,Bellevue,Medicaid Managed Care,EMBLEMHEALTH MCD [3300],2020,2020 Q3,-2.72848E-12
IP,Bellevue,Medicaid Managed Care,EMPIRE BCBS HEALTHPLUS MCD [3380],2019,2019 Q1,0
IP,Bellevue,Medicaid Managed Care,EMPIRE BCBS HEALTHPLUS MCD [3380],2019,2019 Q2,-526043.1
IP,Bellevue,Medicaid Managed Care,EMPIRE BCBS HEALTHPLUS MCD [3380],2019,2019 Q3,-748012.03
IP,Bellevue,Medicaid Managed Care,EMPIRE BCBS HEALTHPLUS MCD [3380],2019,2019 Q4,-24776.08
IP,Bellevue,Medicaid Managed Care,EMPIRE BCBS HEALTHPLUS MCD [3380],2020,2020 Q1,-5168.32
IP,Bellevue,Medicaid Managed Care,EMPIRE BCBS HEALTHPLUS MCD [3380],2020,2020 Q2,11646.08
IP,Bellevue,Medicaid Managed Care,EMPIRE BCBS HEALTHPLUS MCD [3380],2020,2020 Q3,-7821.08
IP,Bellevue,Medicaid Managed Care,FIDELIS CARE MCD [3320],2019,2019 Q1,0
IP,Bellevue,Medicaid Managed Care,FIDELIS CARE MCD [3320],2019,2019 Q2,-1358760.84
IP,Bellevue,Medicaid Managed Care,FIDELIS CARE MCD [3320],2019,2019 Q3,-1725801.74
IP,Bellevue,Medicaid Managed Care,FIDELIS CARE MCD [3320],2019,2019 Q4,-24184.1
IP,Bellevue,Medicaid Managed Care,FIDELIS CARE MCD [3320],2020,2020 Q1,24930.1
IP,Bellevue,Medicaid Managed Care,FIDELIS CARE MCD [3320],2020,2020 Q2,-13126.89
IP,Bellevue,Medicaid Managed Care,FIDELIS CARE MCD [3320],2020,2020 Q3,-30335.92
IP,Bellevue,Medicaid Managed Care,HEALTHFIRST MCD [3360],2019,2019 Q1,0
IP,Bellevue,Medicaid Managed Care,HEALTHFIRST MCD [3360],2019,2019 Q2,-4234037.62
IP,Bellevue,Medicaid Managed Care,HEALTHFIRST MCD [3360],2019,2019 Q3,-4168039.86
IP,Bellevue,Medicaid Managed Care,HEALTHFIRST MCD [3360],2019,2019 Q4,-143697.92
IP,Bellevue,Medicaid Managed Care,HEALTHFIRST MCD [3360],2020,2020 Q1,139092.54
IP,Bellevue,Medicaid Managed Care,HEALTHFIRST MCD [3360],2020,2020 Q2,-39150.45
IP,Bellevue,Medicaid Managed Care,HEALTHFIRST MCD [3360],2020,2020 Q3,32357.48
IP,Bellevue,Medicaid Managed Care,INDEPENDENCE CARE SYSTEM MCD [3400],2019,2019 Q2,0
IP,Bellevue,Medicaid Managed Care,MEDICAID HMO MISC [3100],2019,2019 Q1,0
IP,Bellevue,Medicaid Managed Care,MEDICAID HMO MISC [3100],2019,2019 Q2,-15427.64
IP,Bellevue,Medicaid Managed Care,MEDICAID HMO MISC [3100],2019,2019 Q3,-22907.92
IP,Bellevue,Medicaid Managed Care,MEDICAID HMO MISC [3100],2019,2019 Q4,172.19
IP,Bellevue,Medicaid Managed Care,MEDICAID HMO MISC [3100],2020,2020 Q1,-7064.93
IP,Bellevue,Medicaid Managed Care,MEDICAID HMO MISC [3100],2020,2020 Q2,0
IP,Bellevue,Medicaid Managed Care,MEDICAID HMO MISC [3100],2020,2020 Q3,0
IP,Bellevue,Medicaid Managed Care,METROPLUS MCD [1201],2019,2019 Q1,0
IP,Bellevue,Medicaid Managed Care,METROPLUS MCD [1201],2019,2019 Q2,-6956468.09
IP,Bellevue,Medicaid Managed Care,METROPLUS MCD [1201],2019,2019 Q3,-3934933.64
IP,Bellevue,Medicaid Managed Care,METROPLUS MCD [1201],2019,2019 Q4,-25858.89
IP,Bellevue,Medicaid Managed Care,METROPLUS MCD [1201],2020,2020 Q1,-56526.48
IP,Bellevue,Medicaid Managed Care,METROPLUS MCD [1201],2020,2020 Q2,-124674.88
IP,Bellevue,Medicaid Managed Care,METROPLUS MCD [1201],2020,2020 Q3,-1773877.3
IP,Bellevue,Medicaid Managed Care,SENIOR HEALTH PARTNERS [3420],2019,2019 Q2,0
IP,Bellevue,Medicaid Managed Care,UNITEDHEALTHCARE MCD [3460],2019,2019 Q1,0
IP,Bellevue,Medicaid Managed Care,UNITEDHEALTHCARE MCD [3460],2019,2019 Q2,-243056.98
IP,Bellevue,Medicaid Managed Care,UNITEDHEALTHCARE MCD [3460],2019,2019 Q3,-371951.04
IP,Bellevue,Medicaid Managed Care,UNITEDHEALTHCARE MCD [3460],2019,2019 Q4,125.78
IP,Bellevue,Medicaid Managed Care,UNITEDHEALTHCARE MCD [3460],2020,2020 Q1,-89.66
IP,Bellevue,Medicaid Managed Care,UNITEDHEALTHCARE MCD [3460],2020,2020 Q2,-12684.68
IP,Bellevue,Medicaid Managed Care,UNITEDHEALTHCARE MCD [3460],2020,2020 Q3,0
IP,Bellevue,Medicaid Managed Care,VILLAGECARE MCD [3480],2019,2019 Q2,0
IP,Bellevue,Medicaid Managed Care,VNSNY CHOICE MCD [3500],2019,2019 Q2,-5050.8
IP,Bellevue,Medicaid Managed Care,VNSNY CHOICE MCD [3500],2019,2019 Q3,-28711.85
IP,Bellevue,Medicaid Managed Care,VNSNY CHOICE MCD [3500],2019,2019 Q4,-30872.66
IP,Bellevue,Medicaid Managed Care,VNSNY CHOICE MCD [3500],2020,2020 Q1,-48745.29
IP,Bellevue,Medicaid Managed Care,VNSNY CHOICE MCD [3500],2020,2020 Q2,0
IP,Bellevue,Medicaid Managed Care,WELLCARE MCD [3520],2019,2019 Q1,0
IP,Bellevue,Medicaid Managed Care,WELLCARE MCD [3520],2019,2019 Q2,-277937.22
IP,Bellevue,Medicaid Managed Care,WELLCARE MCD [3520],2019,2019 Q3,-211293.27
IP,Bellevue,Medicaid Managed Care,WELLCARE MCD [3520],2019,2019 Q4,-74056.74
IP,Bellevue,Medicaid Managed Care,WELLCARE MCD [3520],2020,2020 Q1,-23307.6
IP,Bellevue,Medicaid Managed Care,WELLCARE MCD [3520],2020,2020 Q2,0
IP,Bellevue,Medicaid Managed Care,WELLCARE MCD [3520],2020,2020 Q3,0
IP,Bellevue,Medicare,MEDICARE [2000],2019,2019 Q1,0
IP,Bellevue,Medicare,MEDICARE [2000],2019,2019 Q2,-9996737.28
IP,Bellevue,Medicare,MEDICARE [2000],2019,2019 Q3,-5554745.85
IP,Bellevue,Medicare,MEDICARE [2000],2019,2019 Q4,-680525.74
IP,Bellevue,Medicare,MEDICARE [2000],2020,2020 Q1,-240632.54
IP,Bellevue,Medicare,MEDICARE [2000],2020,2020 Q2,-80392.42
IP,Bellevue,Medicare,MEDICARE [2000],2020,2020 Q3,-44001.53
IP,Bellevue,Medicare Managed Care,AETNA MCR [2120],2019,2019 Q1,0
IP,Bellevue,Medicare Managed Care,AETNA MCR [2120],2019,2019 Q2,-80356.52
IP,Bellevue,Medicare Managed Care,AETNA MCR [2120],2019,2019 Q3,-287267.48
IP,Bellevue,Medicare Managed Care,AETNA MCR [2120],2019,2019 Q4,15650.03
IP,Bellevue,Medicare Managed Care,AETNA MCR [2120],2020,2020 Q1,-9841.31
IP,Bellevue,Medicare Managed Care,AETNA MCR [2120],2020,2020 Q2,23634.08
IP,Bellevue,Medicare Managed Care,ARCHCARE MCR [2200],2019,2019 Q2,0
IP,Bellevue,Medicare Managed Care,ARCHCARE MCR [2200],2019,2019 Q3,-2635.61
IP,Bellevue,Medicare Managed Care,CENTERLIGHT MCR [2220],2019,2019 Q2,-6634.7
IP,Bellevue,Medicare Managed Care,CENTERLIGHT MCR [2220],2019,2019 Q3,0
IP,Bellevue,Medicare Managed Care,CENTERLIGHT MCR [2220],2020,2020 Q2,-51013.31
IP,Bellevue,Medicare Managed Care,ELDERPLAN MCR [2260],2019,2019 Q1,0
IP,Bellevue,Medicare Managed Care,ELDERPLAN MCR [2260],2019,2019 Q2,-33480.67
IP,Bellevue,Medicare Managed Care,ELDERPLAN MCR [2260],2019,2019 Q3,-21122.04
IP,Bellevue,Medicare Managed Care,ELDERPLAN MCR [2260],2019,2019 Q4,0
IP,Bellevue,Medicare Managed Care,ELDERPLAN MCR [2260],2020,2020 Q1,0
IP,Bellevue,Medicare Managed Care,ELDERPLAN MCR [2260],2020,2020 Q3,-1364
IP,Bellevue,Medicare Managed Care,EMBLEMHEALTH MCR [2280],2019,2019 Q1,0
IP,Bellevue,Medicare Managed Care,EMBLEMHEALTH MCR [2280],2019,2019 Q2,-380569.29
IP,Bellevue,Medicare Managed Care,EMBLEMHEALTH MCR [2280],2019,2019 Q3,-573197.5
IP,Bellevue,Medicare Managed Care,EMBLEMHEALTH MCR [2280],2019,2019 Q4,-152043.29
IP,Bellevue,Medicare Managed Care,EMBLEMHEALTH MCR [2280],2020,2020 Q1,-6029
IP,Bellevue,Medicare Managed Care,EMBLEMHEALTH MCR [2280],2020,2020 Q2,-10974
IP,Bellevue,Medicare Managed Care,EMBLEMHEALTH MCR [2280],2020,2020 Q3,-60
IP,Bellevue,Medicare Managed Care,EMPIRE BCBS MCR [2500],2019,2019 Q2,-102878.61
IP,Bellevue,Medicare Managed Care,EMPIRE BCBS MCR [2500],2019,2019 Q3,-210515.87
IP,Bellevue,Medicare Managed Care,EMPIRE BCBS MCR [2500],2019,2019 Q4,-37874.83
IP,Bellevue,Medicare Managed Care,EMPIRE BCBS MCR [2500],2020,2020 Q1,-43573.33
IP,Bellevue,Medicare Managed Care,EMPIRE BCBS MCR [2500],2020,2020 Q2,0
IP,Bellevue,Medicare Managed Care,EMPIRE BCBS MCR [2500],2020,2020 Q3,-15406.07
IP,Bellevue,Medicare Managed Care,FIDELIS CARE MCR [2300],2019,2019 Q1,0
IP,Bellevue,Medicare Managed Care,FIDELIS CARE MCR [2300],2019,2019 Q2,-226742.28
IP,Bellevue,Medicare Managed Care,FIDELIS CARE MCR [2300],2019,2019 Q3,-84879.67
IP,Bellevue,Medicare Managed Care,FIDELIS CARE MCR [2300],2019,2019 Q4,-67670.2
IP,Bellevue,Medicare Managed Care,FIDELIS CARE MCR [2300],2020,2020 Q1,-1364
IP,Bellevue,Medicare Managed Care,FIDELIS CARE MCR [2300],2020,2020 Q2,0
IP,Bellevue,Medicare Managed Care,FIDELIS CARE MCR [2300],2020,2020 Q3,0
IP,Bellevue,Medicare Managed Care,HEALTHFIRST MCR [2340],2019,2019 Q1,0
IP,Bellevue,Medicare Managed Care,HEALTHFIRST MCR [2340],2019,2019 Q2,-2173046.5
IP,Bellevue,Medicare Managed Care,HEALTHFIRST MCR [2340],2019,2019 Q3,-3460350.81
IP,Bellevue,Medicare Managed Care,HEALTHFIRST MCR [2340],2019,2019 Q4,-7420.43
IP,Bellevue,Medicare Managed Care,HEALTHFIRST MCR [2340],2020,2020 Q1,73333.07
IP,Bellevue,Medicare Managed Care,HEALTHFIRST MCR [2340],2020,2020 Q2,916.4
IP,Bellevue,Medicare Managed Care,HEALTHFIRST MCR [2340],2020,2020 Q3,-10347.94
IP,Bellevue,Medicare Managed Care,HUMANA MEDICARE [2101],2019,2019 Q2,-141992.54
IP,Bellevue,Medicare Managed Care,HUMANA MEDICARE [2101],2019,2019 Q3,-222605.26
IP,Bellevue,Medicare Managed Care,HUMANA MEDICARE [2101],2019,2019 Q4,0
IP,Bellevue,Medicare Managed Care,HUMANA MEDICARE [2101],2020,2020 Q1,-174.24
IP,Bellevue,Medicare Managed Care,HUMANA MEDICARE [2101],2020,2020 Q2,0
IP,Bellevue,Medicare Managed Care,HUMANA MEDICARE [2101],2020,2020 Q3,0
IP,Bellevue,Medicare Managed Care,MEDICARE HMO MISC [2100],2019,2019 Q1,0
IP,Bellevue,Medicare Managed Care,MEDICARE HMO MISC [2100],2019,2019 Q2,-3436.64
IP,Bellevue,Medicare Managed Care,MEDICARE HMO MISC [2100],2019,2019 Q3,-42559.93
IP,Bellevue,Medicare Managed Care,MEDICARE HMO MISC [2100],2019,2019 Q4,-1921.7
IP,Bellevue,Medicare Managed Care,MEDICARE HMO MISC [2100],2020,2020 Q1,-54.6
IP,Bellevue,Medicare Managed Care,MEDICARE HMO MISC [2100],2020,2020 Q2,0
IP,Bellevue,Medicare Managed Care,MEDICARE HMO MISC [2100],2020,2020 Q3,-18146.68
IP,Bellevue,Medicare Managed Care,METROPLUS MCR [1101],2019,2019 Q1,0
IP,Bellevue,Medicare Managed Care,METROPLUS MCR [1101],2019,2019 Q2,-860578.23
IP,Bellevue,Medicare Managed Care,METROPLUS MCR [1101],2019,2019 Q3,-316594.19
IP,Bellevue,Medicare Managed Care,METROPLUS MCR [1101],2019,2019 Q4,-2172.31
IP,Bellevue,Medicare Managed Care,METROPLUS MCR [1101],2020,2020 Q1,0
IP,Bellevue,Medicare Managed Care,METROPLUS MCR [1101],2020,2020 Q2,0
IP,Bellevue,Medicare Managed Care,METROPLUS MCR [1101],2020,2020 Q3,0
IP,Bellevue,Medicare Managed Care,UHC OXFORD MCR [2450],2019,2019 Q1,0
IP,Bellevue,Medicare Managed Care,UHC OXFORD MCR [2450],2019,2019 Q2,0
